Kind,ICAO,FAA,IATA,City,Name,Latitude,Longitude,Max Runway,Airlines
Medium,VABV,,BHU,Bhavnagar,BHAVNAGAR,21.752(N),72.185(E),6300 ft,3.0
Medium,VABP,,BHO,Bhopal,BHOPAL,23.287(N),77.337(E),6700 ft,4.0
Medium,VEBS,,BBI,Bhubaneswar,BHUBANESHWAR,20.244(N),85.818(E),7359 ft,7.0
Medium,VABJ,,BHJ,Bhuj,BHUJ,23.288(N),69.670(E),8205 ft,2.0
Medium,VIBK,,BKB,Bikaner,NAL,28.071(N),73.207(E),8960 ft,
Medium,VICG,,IXC,Chandigarh,CHANDIGARH,30.673(N),76.789(E),9001 ft,9.0
Small,VOTX,,,Chennai,TAMBARAM,12.907(N),80.122(E),5965 ft,
Large,VOCI,,COK,Cochin,COCHIN INTL,10.152(N),76.402(E),11155 ft,27.0
Medium,VOCB,,CJB,Coimbatore,COIMBATORE,11.030(N),77.043(E),8480 ft,10.0
Large,VAGO,,GOI,Dabolim,GOA,15.381(N),73.831(E),11345 ft,26.0
Small,VEDZ,,DEP,Daporijo,Daporijo Airport,27.986(N),94.223(E),,
Medium,VIDN,,DED,Dehradun,DEHRADUN,30.190(N),78.180(E),3405 ft,4.0
Large,VIDP,,DEL,Delhi,INDIRA GANDHI INTL,28.567(N),77.103(E),12500 ft,69.0
Medium,VIDD,,,Delhi,SAFDARJUNG,28.585(N),77.206(E),4260 ft,
Closed,,,,Dhubulia,Dhubulia Airstrip,23.493(N),88.454(E),,
Medium,VEMN,,DIB,Dibrugarh,DIBRUGARH,27.484(N),95.017(E),6000 ft,5.0
Small,VECA,,,Dibrugarh,CHABUA,27.462(N),95.118(E),9003 ft,
Closed,,,,Digri,Digri Airstrip,22.785(N),87.362(E),,
Medium,VEMR,,DMU,Dimapur,DIMAPUR,25.884(N),93.771(E),7513 ft,3.0
Small,,,DIU,Diu,DIU,20.713(N),70.921(E),5980 ft,1.0
Small,,,,Dumka,Sido Kanhu Airport,24.231(N),87.270(E),,
Closed,VODK,,,Dunakonda,Dunakonda Airport,15.806(N),79.488(E),,
Medium,VEDG,,RDP,Durgapur,Kazi Nazrul Islam Airport,23.622(N),87.243(E),,1.0
Small,,,,Durgapur,Durgapur Steel Plant Airport,23.583(N),87.340(E),,
Small,,,,Faizabad,Faizabad Airport,26.751(N),82.154(E),,
Medium,VIGG,,DHM,Gaggal,KANGRA,32.165(N),76.263(E),4620 ft,4.0
Medium,VEGK,,GOP,Gorakhpur,GORAKHPUR,26.740(N),83.450(E),9000 ft,1.0
Medium,VEGT,,GAU,Guwahati,GUWAHATI INTL,26.106(N),91.586(E),9000 ft,10.0
Medium,VIGR,,GWL,Gwalior,GWALIOR,26.293(N),78.228(E),9000 ft,1.0
Small,,,,Hospete,"Kopal,Hospet Airport",15.358(N),76.517(E),,
Medium,VAHB,,HBX,Hubli,HUBLI,15.362(N),75.085(E),5304 ft,2.0
Medium,VODG,,,Hyderabad,DUNDIGUL,17.627(N),78.403(E),8250 ft,
Large,VOHS,,HYD,Hyderabad,Rajiv Gandhi International Airport,17.231(N),78.430(E),,24.0
Medium,VOHY,,BPM,Hyderabad,HYDERABAD,17.453(N),78.468(E),9025 ft,
Medium,VEIM,,IMF,Imphal,IMPHAL,24.760(N),93.897(E),9009 ft,6.0
Medium,VAID,,IDR,Indore,DEVI AHILYABAI HOLKAR,22.722(N),75.801(E),7480 ft,4.0
Small,,,JGB,Jagdalpur,JAGDALPUR,19.074(N),82.037(E),5600 ft,1.0
Medium,VIJP,,JAI,Jaipur,JAIPUR,26.824(N),75.812(E),9177 ft,14.0
Medium,,,,Jalpaiguri,HASHIMARA,26.698(N),89.369(E),9000 ft,
Medium,VIJU,,IXJ,Jammu,JAMMU,32.689(N),74.837(E),6555 ft,7.0
Medium,VAJM,,JGA,Jamnagar,JAMNAGAR,22.466(N),70.013(E),8242 ft,1.0
Small,VEJP,,PYB,Jeypore,Jeypore Airport,18.880(N),82.552(E),,1.0
Medium,VIJO,,JDH,Jodhpur,JODHPUR,26.251(N),73.049(E),9005 ft,2.0
Medium,VEJT,,JRH,Jorhat,JORHAT,26.732(N),94.176(E),8875 ft,1.0
Closed,,,,Kalyan,Kalyan airstrip,19.179(N),73.139(E),,
Closed,,,,Kanchrapara,Kanchrapara Airfield,22.923(N),88.460(E),,
Medium,VAKE,,IXY,Kandla,KANDLA,23.113(N),70.100(E),4997 ft,
Small,VICX,,,Kanpur,KANPUR CHAKERI,26.404(N),80.410(E),8216 ft,
Large,VOCL,,CCJ,Kerala,CALICUT,11.137(N),75.955(E),9383 ft,12.0
Medium,VAKJ,,HJR,Khajuraho,KHAJURAHO,24.817(N),79.919(E),7460 ft,2.0
Small,,,,Khandwa,Khandwa Airport,21.857(N),76.337(E),,
Small,VEKW,,IXN,Khowai,Khowai Airport,24.062(N),91.604(E),,
Small,VOCC,,,Kochi,COCHIN,9.947(N),76.273(E),5620 ft,
Large,VECC,,CCU,Kolkata,NETAJI SUBHASH CHANDRA BOSE INTL,22.655(N),88.447(E),11900 ft,26.0
Small,VOKP,,,Koppal,Koppal Aerodrome,15.359(N),76.219(E),,
Medium,VIKO,,KTU,Kota,KOTA,25.160(N),75.846(E),4078 ft,
Medium,VEKU,,IXS,Kumbhigram,SILCHAR,24.913(N),92.979(E),5993 ft,3.0
Small,VILP,,,Lalitpur,Lalitpur Airport,24.717(N),78.417(E),,
Medium,,,,Latur,MUROD KOND,18.411(N),76.465(E),5260 ft,
Medium,VILK,,LKO,Lucknow,LUCKNOW,26.761(N),80.889(E),8996 ft,11.0
Small,VIBL,,,Lucknow,BAKSHI KA TALAB,26.988(N),80.893(E),8990 ft,
Small,,,,Madhupur,Shibpur Airstrip,13.236(N),93.050(E),,
Large,VOMM,,MAA,Madras,CHENNAI INTL,12.994(N),80.181(E),12001 ft,43.0
Medium,VOMD,,IXM,Madurai,MADURAI,9.835(N),78.093(E),5990 ft,6.0
Small,VEMH,,LDA,Malda,Malda Airport,25.033(N),88.133(E),,1.0
Medium,VOML,,IXE,Mangalore,MANGALORE,12.961(N),74.890(E),5300 ft,5.0
Small,VEBK,,,Maraphari,BOKARO,23.643(N),86.149(E),5300 ft,
Small,VAJJ,,,Mumbai,Juhu Aerodrome,19.098(N),72.834(E),,
Large,VABB,,BOM,Mumbai,CHHATRAPATI SHIVAJI INTL,19.089(N),72.868(E),10837 ft,56.0
Small,VOMY,,MYQ,Mysore,Mysore Airport,12.307(N),76.650(E),,
Medium,VANP,,NAG,Nagpur,DR AMBEDKAR INTL,21.092(N),79.047(E),10500 ft,8.0
Medium,,,NDC,Nanded,NANDER,19.182(N),77.318(E),4510 ft,
Closed,VANR,,,Nashik,NASIK ROAD,19.964(N),73.808(E),4520 ft,
Small,VENP,,,Nawapara,NAWAPARA,20.870(N),82.520(E),3380 ft,
Small,,,NVY,Neyveli,Neyveli Airport,11.613(N),79.527(E),,
Medium,VELR,,IXI,North Lakhimpur,LILABARI,27.295(N),94.098(E),7500 ft,1.0
Small,,,OMN,Osmanabad,Osmanabad Airport,18.281(N),76.057(E),,
Medium,VIPT,,PGH,Pantnagar,PANTNAGAR,29.033(N),79.474(E),3600 ft,1.0
Small,VEPG,,IXT,Pasighat,Pasighat Airport,28.066(N),95.336(E),,1.0
Medium,VEPT,,PAT,Patna,PATNA,25.591(N),85.088(E),5970 ft,5.0
Small,,,,Poonch,Poonch Airport,33.769(N),74.084(E),,
Medium,VAPR,,PBD,Porbandar,PORBANDAR,21.649(N),69.657(E),4500 ft,
Medium,VOPB,,IXZ,Port Blair,PORT BLAIR,11.641(N),92.730(E),10795 ft,7.0
Medium,VOPN,,PUT,Prasanthinilayam,SRI SATHYA SAI,14.149(N),77.791(E),7315 ft,
Medium,VAPO,,PNQ,Pune,PUNE,18.582(N),73.920(E),8329 ft,10.0
Small,,,,Pune,Baramati Airport,18.227(N),74.591(E),,
Closed,,,,Purulia,Charra Airfield,23.366(N),86.437(E),,
Small,VARP,,RPR,Raipur,RAIPUR,21.180(N),81.739(E),6414 ft,7.0
Medium,VORY,,RJA,Rajahmundry,RAJAHMUNDRY,17.110(N),81.818(E),5710 ft,3.0
Medium,VARK,,RAJ,Rajkot,RAJKOT,22.309(N),70.780(E),5740 ft,4.0
Small,,,,Rajouri,RAJAORI,33.378(N),74.315(E),3300 ft,
Small,VORG,,RMD,Ramagundam,Basanth Nagar Airport,18.701(N),79.392(E),,
Small,VORM,,,Ramnad,Ramnad Naval Air Station,9.325(N),78.971(E),,
Small,,,,Rampurhat,Surichua Air Base,24.188(N),87.702(E),,
Medium,VERC,,IXR,Ranchi,BIRSA MUNDA,23.314(N),85.322(E),8855 ft,6.0
Closed,,,,Rasgovindpur,Rasgovindpur Airstrip,21.805(N),87.047(E),,
Small,,,,Rewa,CHORHATA,24.503(N),81.220(E),3940 ft,
Small,,,,Rumgara,Korba Airport,22.414(N),82.719(E),,
Medium,VOSM,,SXV,Salem,SALEM,11.783(N),78.066(E),5925 ft,
Small,VEHK,,,Sambalpur,HIRAKUD,21.580(N),84.006(E),4185 ft,1.0
Medium,VEBI,,SHL,Shillong,BARAPANI,25.704(N),91.979(E),6000 ft,2.0
Small,,,,Shirpur,Shirpur Airport,21.324(N),74.957(E),,
Medium,VEBD,,IXB,Siliguri,BAGDOGRA,26.681(N),88.329(E),9035 ft,8.0
Medium,VASL,,SSE,Solapur,SHOLAPUR,17.628(N),75.935(E),4472 ft,
Medium,VISR,,SXR,Srinagar,SRINAGAR,33.987(N),74.774(E),12090 ft,6.0
Small,VOSX,,,Sulur,SULUR,11.014(N),77.160(E),8255 ft,
Small,,,TEI,Tezu,TEJU NEW,27.941(N),96.134(E),4505 ft,
Small,VOTJ,,TJV,Thanjavur,TANJORE,10.722(N),79.102(E),5680 ft,
Medium,VOTR,,TRZ,Tiruchirappally,TIRUCHIRAPPALLI,10.765(N),78.710(E),6115 ft,7.0
Small,VOTP,,TIR,Tirupati,TIRUPATI,13.632(N),79.543(E),7500 ft,4.0
Large,VOTV,,TRV,Trivandrum,THIRUVANANTHAPURAM INTL,8.482(N),76.920(E),10626 ft,19.0
Medium,VAUD,,UDR,Udaipur,UDAIPUR,24.618(N),73.896(E),7484 ft,4.0
Small,,,,Ujjain,BENTAYAN,23.095(N),75.885(E),3491 ft,
Small,,,,Umaria,Umaria Air Field,23.533(N),80.808(E),,
Medium,VABO,,BDQ,Vadodara,VADODARA,22.336(N),73.226(E),8100 ft,3.0
Small,,,,Vanasthali,Vanasthali Airport,26.408(N),75.870(E),,
Medium,VIBN,,VNS,Varanasi,VARANASI,25.452(N),82.859(E),7238 ft,11.0
Small,VOVR,,,Vellore,Vellore Airport,12.909(N),79.067(E),,
Small,,,,Vijay Nagar,Vijay Nagar Airport,19.884(N),73.841(E),,
Small,VEVZ,,VTZ,Visakhapatnam,VISHAKHAPATNAM,17.721(N),83.224(E),6000 ft,9.0
Small,VOWA,,WGC,Warrangal,Warangal Airport,17.914(N),79.602(E),,
Small,VOYK,,,Yelahanka,YELAHANKA,13.136(N),77.606(E),6690 ft,
